"post_id","post_date","post_date_gmt","guid__rendered","post_modified","post_modified_gmt","slug","post_status","post_type","link","post_title","post_content","content__protected","post_excerpt","excerpt__protected","post_author","featured_media","comment_status","ping_status","sticky","template","format","meta__spay_email","meta__jetpack_publicize_message","categories__-","tags__001","tags__002","tags__003","tags__004","tags__005","tags__006","tags__007","tags__008","tags__009","jetpack_featured_media_url","jetpack_shortlink","_links__|","_links__|__name","_links__|__taxonomy","_links__|__id","_links__|__count","_links__|__embeddable","_links__|__href","_links__|__templated"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","predecessor-version","","","247516","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247515/revisions/247516",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:featuredmedia","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/media/226950",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:attachment","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/media?parent=247515",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:term","","category","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/categories?post=247515",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","post_tag","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/tags?post=247515",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","curies","wp","","","","","https://api.w.org/{rel}","True"
"247511","2020-06-11T14:32:23","2020-06-11T19:32:23","https://fernandafamiliar.soy/?p=247511","2020-06-11T14:32:28","2020-06-11T19:32:28","pareja-desempleada-por-covid-19-canta-en-la-calle-para-comprar-leche-a-su-bebe","publish","post","https://fernandafamiliar.soy/noticias/el-mejor-buscador-de-internet/pareja-desempleada-por-covid-19-canta-en-la-calle-para-comprar-leche-a-su-bebe/","Pareja desempleada por COVID-19, canta en la calle, para comprar leche a su bebé","<p>Cientos, quizá miles de familias se quedaron de un día para otro sin ingresos debido a la pandemia que aqueja a México y al mundo, otras más han sufrido por las alzas en los precios, pues lo que ganaban, ahora, ya no les alcanza; así esta crisis económica, ple pegó a la familia Mendoza, quien ahora es víctima del desempleo en Culiacán, Sinaloa.</p><p>A el esposo, lo corrieron de su trabajo y ella antes ponía uñas y planchaba el cabello, pero un día, entraron a la casa de sus suegros y le robaron todas sus herramientas y su equipo, por lo que su situación económica empezó a empeorar en la casa.&nbsp;</p><p>La pareja de esposos, tienen un bebé de brazos, de apenas cinco meses de edad y ya no tenían para comprar el bote de leche para el pequeño, y por la pandemia, se tornó difícil encontrar un nuevo empleo, por lo que decidieron irse a las afueras de un supermercado de su ciudad y ponerse a cantar para con ello, poder ganar dinero y darle de comer a su bebé.</p><p>Este es el video de los papás que no se quedaron con los brazos cruzados e hicieron todo para que su niño tuviera que comer.</p><figure class=""wp-block-embed-facebook wp-block-embed""><div class=""wp-block-embed__wrapper""><div class=""fb-video"" data-allowfullscreen=""true"" data-href=""https://www.facebook.com/watch/?v=257808518637250""></div></div></figure><p>Por si te late apoyar, el bebé usa la leche «NAN Probio AE», pañales etapa 6 y puedes comunicarte al celular 667 372 1548.</p>","False","<p>Cientos, quizá miles de familias se quedaron de un día para otro sin ingresos debido a la pandemia que aqueja a México&#8230;</p>","False","6","247512","open","open","False","","standard","","","25","","","","","","","","","","https://fernandafamiliar.soy/wp-content/uploads/2020/06/Pareja-bebe-PORTADA.png","https://wp.me/p794bQ-12o7","self","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247511",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","collection","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","about","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/types/post",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","author","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/users/6",""
